Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
MOTOROLA,43 inch,Full HD,LED,Google TV,4.2,8135,790,19999.0,37000.0,45.0
HUIDI,32 inch,HD Ready,LED,Unknown,4.0,7922,840,6699.0,17599.0,61.0
Acer,32 inch,HD Ready,LED,Google TV,4.2,27029,2917,11999.0,20999.0,42.0
InnoQ,24 inch,HD Ready,LED,Unknown,3.9,4206,483,5290.0,19990.0,73.0
Blaupunkt,43 inch,Ultra HD (4K),QLED,Google TV,4.5,8589,2115,22499.0,33999.0,33.0
Dor,43 inch,Ultra HD (4K),QLED,Unknown,4.0,29,9,10799.0,34999.0,69.0
Hisense,55 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,39999.0,64999.0,38.0
Hisense,43 inch,Ultra HD (4K),LED,Google TV,4.3,8796,1235,24999.0,44999.0,44.0
acerpure,43 inch,Full HD,LED,Google TV,4.2,2833,373,18999.0,34990.0,45.0
Sansui,32 inch,HD Ready,LED,Linux,4.2,711,87,9990.0,19990.0,50.0
Admiral,43 inch,Ultra HD (4K),LED,Google TV,4.4,187,32,19999.0,31199.0,35.0
TOSHIBA,50 inch,Ultra HD (4K),QLED,VIDAA,4.3,5469,904,32999.0,58999.0,44.0
TOSHIBA,55 inch,Ultra HD (4K),LED,Google TV,4.3,5341,878,35999.0,59999.0,40.0
Hisense,55 inch,Ultra HD (4K),LED,Google TV,4.3,8796,1235,34999.0,59999.0,41.0
TOSHIBA,75 inch,Ultra HD (4K),LED,Google TV,4.3,5341,878,79999.0,114999.0,30.0
SAMSUNG,65 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,67990.0,96900.0,29.0
Hisense,55 inch,Ultra HD (4K),QLED,VIDAA,4.2,30,0,49999.0,79999.0,37.0
CANDY,32 inch,HD Ready,LED,Android,4.1,130,26,10990.0,19990.0,45.0
Sansui,40 inch,Full HD,LED,Google TV,4.2,2482,228,19490.0,34990.0,44.0
MarQ,32 inch,HD Ready,LED,Google TV,4.2,536,64,9999.0,18000.0,44.0
acerpure,43 inch,Ultra HD (4K),LED,Google TV,4.2,2833,373,21499.0,49990.0,56.0
Acer,43 inch,Full HD,LED,Google TV,4.2,27029,2917,20999.0,32999.0,36.0
Mi,32 inch,HD Ready,LED,Google TV,4.3,171724,13288,14390.0,24999.0,42.0
Thomson,75 inch,Ultra HD (4K),QLED,Google TV,4.4,23903,4283,69999.0,149999.0,53.0
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,43990.0,72900.0,39.0
Hisense,65 inch,Ultra HD (4K),LED,Google TV,4.3,8796,1235,49999.0,79999.0,37.0
KODAK,40 inch,Full HD,LED,Android,4.4,39316,7634,15499.0,26999.0,42.0
Acer,50 inch,Ultra HD (4K),LED,Google TV,4.2,27029,2917,27549.0,49999.0,44.0
Daiwa,43 inch,Ultra HD (4K),QLED,Google TV,4.1,905,209,18999.0,51990.0,63.0
Infinix,55 inch,Ultra HD (4K),QLED,Google TV,4.0,276,28,30999.0,39999.0,22.0
SONY,55 inch,Ultra HD (4K),LED,Google TV,4.7,556,95,69999.0,129900.0,46.0
Panasonic,43 inch,Ultra HD (4K),LED,Google TV,4.3,8785,1207,30990.0,42990.0,27.0
Sansui,32 inch,HD Ready,LED,Coolita,4.2,58,6,9990.0,19990.0,50.0
Haier,43 inch,Ultra HD (4K),LED,Google TV,4.3,520,56,29441.0,45990.0,35.0
Thomson,40 inch,Full HD,LED,Linux,4.4,42232,5726,14999.0,17999.0,16.0
ONIDA,43 inch,Ultra HD (4K),LED,Google TV,4.1,1085,174,23490.0,34990.0,32.0
Daiwa,32 inch,HD Ready,LED,Google TV,4.2,85,21,9499.0,24490.0,61.0
Mi,40 inch,Full HD,LED,Google TV,4.3,171724,13288,19999.0,29999.0,33.0
Hisense,32 inch,HD Ready,LED,Google TV,4.2,1844,362,11999.0,24999.0,52.0
acerpure,65 inch,Ultra HD (4K),LED,Google TV,4.2,2833,373,45999.0,99990.0,53.0
Mi,65 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,69999.0,99999.0,30.0
acerpure,50 inch,Ultra HD (4K),QLED,Google TV,4.3,860,161,30999.0,64990.0,52.0
MOTOROLA,55 inch,Ultra HD (4K),LED,Google TV,4.3,5921,564,29990.0,56790.0,47.0
TOSHIBA,65 inch,Ultra HD (4K),QLED,Google TV,4.3,5469,904,59999.0,99999.0,40.0
KODAK,24 inch,HD Ready,LED,Unknown,4.0,10222,1154,5999.0,10499.0,42.0
acerpure,32 inch,HD Ready,LED,Google TV,4.2,2833,373,11299.0,24990.0,54.0
Blaupunkt,50 inch,Ultra HD (4K),LED,Google TV,4.5,7780,1787,26999.0,41999.0,35.0
