Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount
Thomson,65 inch,Ultra HD (4K),QLED,Google TV,4.4,"23,903","4,283","₹44,999","₹84,999",47% off
Mi,50 inch,Ultra HD (4K),LED,Google TV,4.3,"1,23,713","11,311","₹33,990","₹49,999",32% off
MarQ,24 inch,HD Ready,LED,Coolita,4.2,"6,529",638,"₹7,099","₹19,990",64% off
LG,65 inch,Ultra HD (4K),LED,WebOS,4.4,"34,621","3,285","₹64,990","₹1,14,990",43% off
Mi,55 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,"₹49,999","₹70,999",29% off
Thomson,55 inch,Ultra HD (4K),LED,Android,4.3,"26,869","5,534","₹24,999","₹46,999",46% off
SONY,55 inch,Ultra HD (4K),LED,Google TV,4.6,"25,345","4,410","₹54,990","₹99,900",44% off
KODAK,50 inch,Ultra HD (4K),LED,Google TV,4.5,"23,214","6,450","₹26,999","₹41,999",35% off
REDMI,55 inch,Ultra HD (4K),LED,FireTv OS 7,4.2,"9,933",627,"₹35,999","₹54,999",34% off
Blaupunkt,50 inch,Ultra HD (4K),QLED,Google TV,4.5,"8,589","2,115","₹27,999","₹49,999",44% off
Hisense,65 inch,Ultra HD (4K),QLED,Google TV,4.3,"2,135",407,"₹63,999","₹99,999",36% off
TCL,50 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,"₹33,990","₹1,14,990",70% off
Blaupunkt,55 inch,Ultra HD (4K),QLED,Google TV,4.5,"8,589","2,115","₹31,999","₹59,999",46% off
MOTOROLA,40 inch,Full HD,LED,Google TV,4.2,"8,135",790,"₹17,999","₹28,999",37% off
SAMSUNG,50 inch,Ultra HD (4K),LED,Tizen,4.3,"15,222","1,096","₹42,990","₹61,900",30% off
acerpure,43 inch,Ultra HD (4K),QLED,Google TV,4.3,860,161,"₹25,999","₹49,990",47% off
Mi,43 inch,Ultra HD (4K),LED,Google TV,4.3,"29,031","2,850","₹30,999","₹49,999",38% off
MOTOROLA,43 inch,Full HD,LED,Google TV,4.2,"8,135",790,"₹19,999","₹37,000",45% off
HUIDI,32 inch,HD Ready,LED,,4,"7,922",840,"₹6,699","₹17,599",61% off
Acer,32 inch,HD Ready,LED,Google TV,4.2,"27,029","2,917","₹11,999","₹20,999",42% off
InnoQ,24 inch,HD Ready,LED,,3.9,"4,206",483,"₹5,290","₹19,990",73% off
Blaupunkt,43 inch,Ultra HD (4K),QLED,Google TV,4.5,"8,589","2,115","₹22,499","₹33,999",33% off
Dor,43 inch,Ultra HD (4K),QLED,,4,29,9,"₹10,799","₹34,999",69% off
Hisense,55 inch,Ultra HD (4K),QLED,Google TV,4.3,"2,135",407,"₹39,999","₹64,999",38% off
Hisense,43 inch,Ultra HD (4K),LED,Google TV,4.3,"8,796","1,235","₹24,999","₹44,999",44% off
acerpure,43 inch,Full HD,LED,Google TV,4.2,"2,833",373,"₹18,999","₹34,990",45% off
MOTOROLA,40 inch,Full HD,LED,Google TV,4.2,"8,135",790,"₹17,999","₹28,999",37% off
KODAK,50 inch,Ultra HD (4K),LED,Google TV,4.5,"23,214","6,450","₹26,999","₹41,999",35% off
Sansui,32 inch,HD Ready,LED,Linux,4.2,711,87,"₹9,990","₹19,990",50% off
Mi,43 inch,Ultra HD (4K),LED,Google TV,4.3,"29,031","2,850","₹30,999","₹49,999",38% off
Admiral,43 inch,Ultra HD (4K),LED,Google TV,4.4,187,32,"₹19,999","₹31,199",35% off
TOSHIBA,50 inch,Ultra HD (4K),QLED,VIDAA,4.3,"5,469",904,"₹32,999","₹58,999",44% off
Blaupunkt,43 inch,Ultra HD (4K),QLED,Google TV,4.5,"8,589","2,115","₹22,499","₹33,999",33% off
TOSHIBA,55 inch,Ultra HD (4K),LED,Google TV,4.3,"5,341",878,"₹35,999","₹59,999",40% off
Hisense,55 inch,Ultra HD (4K),LED,Google TV,4.3,"8,796","1,235","₹34,999","₹59,999",41% off
InnoQ,24 inch,HD Ready,LED,,3.9,"4,206",483,"₹5,290","₹19,990",73% off
TOSHIBA,75 inch,Ultra HD (4K),LED,Google TV,4.3,"5,341",878,"₹79,999","₹1,14,999",30% off
Hisense,55 inch,Ultra HD (4K),QLED,Google TV,4.3,"2,135",407,"₹39,999","₹64,999",38% off
SAMSUNG,65 inch,Ultra HD (4K),LED,Tizen,4.3,"38,242","3,024","₹67,990","₹96,900",29% off
Hisense,55 inch,Ultra HD (4K),QLED,VIDAA,,,,"₹49,999","₹79,999",37% off
CANDY,32 inch,HD Ready,LED,Android,4.1,130,26,"₹10,990","₹19,990",45% off
Sansui,40 inch,Full HD,LED,Google TV,4.2,"2,482",228,"₹19,490","₹34,990",44% off
MarQ,32 inch,HD Ready,LED,Google TV,4.2,536,64,"₹9,999","₹18,000",44% off
acerpure,43 inch,Ultra HD (4K),LED,Google TV,4.2,"2,833",373,"₹21,499","₹49,990",56% off
